city,district,neighborhood,room,living_room,area,age,floor,price
bursa,mudanya,guzelyali_burgaz,3,1,165,15,3,17000
bursa,nilufer,gorukle,2,1,65,2,4,14000
bursa,osmangazi,hurriyet,2,1,80,9,0,12000
bursa,nilufer,dumlupinar,2,1,80,0,2,16000
bursa,nilufer,dumlupinar,2,1,60,2,2,14000
bursa,nilufer,gorukle,2,1,60,0,4,14000
bursa,gemlik,hisar,3,1,160,7,3,20000
bursa,nilufer,dumlupinar,1,1,55,13,2,9000
bursa,nilufer,hasanaga,2,1,95,0,3,15000
bursa,yildirim,karamazak,2,1,80,15,2,13000
bursa,nilufer,30_agustos_zafer,2,1,70,5,2,16000
bursa,yildirim,ortabaglar,2,1,90,15,2,12000
bursa,nilufer,dumlupinar,2,1,70,2,4,15000
bursa,nilufer,kizilcikli,3,1,127,0,4,20000
bursa,nilufer,gorukle,2,1,70,11,4,12000
bursa,nilufer,dumlupinar,1,1,60,8,3,11000
bursa,nilufer,gorukle,2,1,60,6,2,12000
bursa,nilufer,dumlupinar,2,1,75,5,4,14000
bursa,nilufer,dumlupinar,2,1,65,4,3,14000
bursa,nilufer,gorukle,3,1,120,12,5,14000
bursa,nilufer,ihsaniye,3,1,160,15,2,24000
bursa,yildirim,hacivat,2,1,115,15,1,12000
antalya,aksu,altintas,1,1,69,1,1,16000
antalya,alanya,tosmur,2,1,120,13,2,19000
antalya,kepez,aktoprak,2,1,88,0,1,15000
antalya,muratpasa,guvenlik,1,1,50,15,3,13000
antalya,finike,kum,2,1,110,0,3,19000
antalya,finike,iskele,1,1,54,1,3,10000
antalya,elmali,karyagdi,3,1,115,15,3,11000
antalya,kepez,kultur,2,1,85,7,3,19000
antalya,elmali,karyagdi,3,1,140,1,3,15000
antalya,finike,iskele,1,1,54,0,1,10000
antalya,alanya,demirtas,1,1,73,3,5,10000
antalya,alanya,karakocali,2,1,80,8,4,20000
antalya,dosemealti,yenikoy,2,1,110,6,0,12000
antalya,kepez,yesilyurt,3,1,160,14,3,18000
antalya,alanya,demirtas,2,1,63,0,2,13000
antalya,kumluca,cumhuriyet,2,1,185,1,3,14000
antalya,alanya,mahmutlar,1,1,70,5,2,15000
antalya,alanya,mahmutlar,1,1,54,1,3,10000
antalya,kepez,ahatli,1,1,45,1,1,15000
antalya,manavgat,kizilot,2,1,85,0,2,25000
antalya,alanya,tepe,2,1,100,10,3,15000
antalya,alanya,mahmutlar,2,1,90,5,2,15000
antalya,aksu,altintas,1,1,65,0,3,15000
antalya,aksu,altintas,1,1,45,0,3,15000
antalya,dosemealti,yesilbayir,2,1,90,10,1,13000
antalya,gazipasa,pazarci,2,1,120,4,5,19000
