list-view-price,celly,celly 2,celly 3,celly 4,city,district,neighborhood
11.0,"2 +
                          0",55 m²,"11
                        Yaşında",1. Kat,bursa,nilufer,dumlupinar
17.5,"3 +
                          1",165 m²,"15
                        Yaşında",Ara Kat,bursa,mudanya,guzelyali_burgaz
14.0,"2 +
                          1",65 m²,"2
                        Yaşında",4. Kat,bursa,nilufer,gorukle
12.0,"2 +
                          1",80 m²,"9
                        Yaşında",Bahçe Katı,bursa,osmangazi,hurriyet
16.0,"2 +
                          1",80 m²,Sıfır Bina,2. Kat,bursa,nilufer,dumlupinar
14.0,"2 +
                          1",60 m²,"2
                        Yaşında",2. Kat,bursa,nilufer,dumlupinar
14.0,"2 +
                          1",60 m²,Sıfır Bina,4. Kat,bursa,nilufer,gorukle
20.0,"3 +
                          1",160 m²,"7
                        Yaşında",3. Kat,bursa,gemlik,hisar
9.0,"1 +
                          1",55 m²,"13
                        Yaşında",2. Kat,bursa,nilufer,dumlupinar
15.0,"2 +
                          1",95 m²,Sıfır Bina,3. Kat,bursa,nilufer,hasanaga
13.0,"2 +
                          1",80 m²,"15
                        Yaşında",2. Kat,bursa,yildirim,karamazak
16.0,"2 +
                          1",70 m²,"5
                        Yaşında",2. Kat,bursa,nilufer,30_agustos_zafer
12.0,"2 +
                          1",90 m²,"15
                        Yaşında",2. Kat,bursa,yildirim,ortabaglar
15.0,"2 +
                          1",70 m²,"2
                        Yaşında",4. Kat,bursa,nilufer,dumlupinar
20.0,"3 +
                          1",127 m²,Sıfır Bina,4. Kat,bursa,nilufer,kizilcikli
12.0,"2 +
                          1",70 m²,"11
                        Yaşında",4. Kat,bursa,nilufer,gorukle
11.0,"1 +
                          1",60 m²,"8
                        Yaşında",Ara Kat,bursa,nilufer,dumlupinar
12.0,"2 +
                          1",60 m²,"6
                        Yaşında",2. Kat,bursa,nilufer,gorukle
14.0,"2 +
                          1",75 m²,"5
                        Yaşında",4. Kat,bursa,nilufer,dumlupinar
14.5,"2 +
                          1",65 m²,"4
                        Yaşında",3. Kat,bursa,nilufer,dumlupinar
22.0,"3 +
                          2",175 m²,"8
                        Yaşında",Bodrum ve Zemin,bursa,nilufer,demirci
14.0,"3 +
                          1",120 m²,"12
                        Yaşında",En Üst Kat,bursa,nilufer,gorukle
24.0,"3 +
                          1",160 m²,"15
                        Yaşında",2. Kat,bursa,nilufer,ihsaniye
12.0,"2 +
                          1",115 m²,"15
                        Yaşında",Yüksek Giriş,bursa,yildirim,hacivat
16.0,"1 +
                          1",69 m²,"1
                        Yaşında",1. Kat,antalya,aksu,altintas
19.0,"2 +
                          1",120 m²,"13
                        Yaşında",2. Kat,antalya,alanya,tosmur
15.5,"2 +
                          1",88 m²,Sıfır Bina,1. Kat,antalya,kepez,aktoprak
13.5,"1 +
                          1",50 m²,"15
                        Yaşında",3. Kat,antalya,muratpasa,guvenlik
2.5,"3 +
                          1",140 m²,"15
                        Yaşında",1. Kat,antalya,muratpasa,fener
19.0,"2 +
                          1",110 m²,Sıfır Bina,3. Kat,antalya,finike,kum
10.5,"1 +
                          1",54 m²,"1
                        Yaşında",3. Kat,antalya,finike,iskele
11.0,"3 +
                          1",115 m²,"15
                        Yaşında",3. Kat,antalya,elmali,karyagdi
19.0,"2 +
                          1",85 m²,"7
                        Yaşında",3. Kat,antalya,kepez,kultur
15.0,"3 +
                          1",140 m²,"1
                        Yaşında",3. Kat,antalya,elmali,karyagdi
10.5,"1 +
                          1",54 m²,Sıfır Bina,1. Kat,antalya,finike,iskele
10.0,"1 +
                          1",73 m²,"3
                        Yaşında",5. Kat,antalya,alanya,demirtas
26.0,"5 +
                          1",225 m²,"2
                        Yaşında",Zemin,antalya,kepez,fevzi_cakmak
20.0,"2 +
                          1",80 m²,"8
                        Yaşında",4. Kat,antalya,alanya,karakocali
12.0,"2 +
                          1",110 m²,"6
                        Yaşında",Bahçe Katı,antalya,dosemealti,yenikoy
18.0,"3 +
                          1",160 m²,"14
                        Yaşında",3. Kat,antalya,kepez,yesilyurt
28.5,"2 +
                          1",125 m²,"15
                        Yaşında",2. Kat,antalya,muratpasa,caglayan
13.0,"2 +
                          1",63 m²,Sıfır Bina,2. Kat,antalya,alanya,demirtas
14.5,"2 +
                          1",185 m²,"1
                        Yaşında",3. Kat,antalya,kumluca,cumhuriyet
11.5,"4 +
                          1",400 m²,"10
                        Yaşında",,antalya,serik,belek
35.0,"2 +
                          1",125 m²,"10
                        Yaşında",4. Kat,antalya,konyaalti,liman
15.0,"1 +
                          1",70 m²,"5
                        Yaşında",2. Kat,antalya,alanya,mahmutlar
35.0,"2 +
                          1",120 m²,"15
                        Yaşında",5. Kat,antalya,konyaalti,liman
10.0,"1 +
                          1",54 m²,"1
                        Yaşında",Ara Kat,antalya,alanya,mahmutlar
45.0,"3 +
                          1",150 m²,"5
                        Yaşında",4. Kat,antalya,konyaalti,liman
15.0,"1 +
                          1",45 m²,"1
                        Yaşında",Yüksek Giriş,antalya,kepez,ahatli
25.0,"2 +
                          1",85 m²,Sıfır Bina,2. Kat,antalya,manavgat,kizilot
15.0,"2 +
                          1",100 m²,"10
                        Yaşında",Ara Kat,antalya,alanya,tepe
15.0,"2 +
                          1",90 m²,"5
                        Yaşında",2. Kat,antalya,alanya,mahmutlar
22.5,"5 +
                          4",80 m²,"1
                        Yaşında",Ara Kat,antalya,alanya,kizlar_pinari
15.0,"1 +
                          1",65 m²,Sıfır Bina,3. Kat,antalya,aksu,altintas
15.0,"1 +
                          1",45 m²,Sıfır Bina,Ara Kat,antalya,aksu,altintas
13.0,"2 +
                          1",90 m²,"10
                        Yaşında",Yüksek Giriş,antalya,dosemealti,yesilbayir
19.0,"2 +
                          1",120 m²,"4
                        Yaşında",Çatı Katı,antalya,gazipasa,pazarci
13.0,"1 +
                          1",50 m²,"12
                        Yaşında",Yüksek Giriş,antalya,dosemealti,ciplakli
22.0,"3 +
                          0",118 m²,"1
                        Yaşında",10. Kat,antalya,kepez,kepez
20.0,"2 +
                          1",105 m²,Sıfır Bina,5. Kat,antalya,dosemealti,bahceyaka
12.0,"1 +
                          1",65 m²,Sıfır Bina,5. Kat,antalya,finike,yeni
15.0,"1 +
                          1",45 m²,Sıfır Bina,Kot 3,antalya,aksu,altintas
12.0,Stüdyo,30 m²,"4
                        Yaşında",4. Kat,antalya,kepez,kultur
55.0,"3 +
                          1",180 m²,"13
                        Yaşında",11. Kat,antalya,muratpasa,yesilbahce
12.0,Stüdyo,57 m²,Sıfır Bina,2. Kat,antalya,dosemealti,yenikoy
18.5,"1 +
                          1",60 m²,"3
                        Yaşında",3. Kat,antalya,alanya,oba
14.5,"2 +
                          1",135 m²,"15
                        Yaşında",En Üst Kat,antalya,serik,yeni
11.0,"1 +
                          1",55 m²,Sıfır Bina,2. Kat,antalya,alanya,kestel
15.0,"1 +
                          1",55 m²,Sıfır Bina,5. Kat,antalya,kepez,gunes
18.0,"2 +
                          1",110 m²,"3
                        Yaşında",Yüksek Giriş,antalya,kepez,kepez
10.0,"2 +
                          1",90 m²,Sıfır Bina,Ara Kat,antalya,alanya,elikesik
12.5,"2 +
                          1",100 m²,"1
                        Yaşında",2. Kat,antalya,alanya,demirtas
30.0,"1 +
                          1",60 m²,"1
                        Yaşında",Ara Kat,antalya,manavgat,sorgun
11.0,"1 +
                          1",50 m²,Sıfır Bina,Yüksek Giriş,antalya,kepez,gazi
25.0,"4 +
                          1",250 m²,"10
                        Yaşında",Teras Katı,antalya,gazipasa,istiklal
14.0,"2 +
                          1",95 m²,"12
                        Yaşında",Ara Kat,antalya,kepez,dudenbasi
17.0,"2 +
                          1",95 m²,"5
                        Yaşında",Giriş Katı,antalya,muratpasa,yenigun
35.0,"4 +
                          4",185 m²,"5
                        Yaşında",,antalya,kemer,arslanbucak
15.0,"2 +
                          1",100 m²,"3
                        Yaşında",5. Kat,antalya,alanya,mahmutlar
35.0,"4 +
                          1",250 m²,"5
                        Yaşında",9. Kat,antalya,gazipasa,pazarci
10.5,"1 +
                          1",60 m²,Sıfır Bina,Yüksek Giriş,antalya,dosemealti,bahceyaka
12.0,"2 +
                          1",110 m²,"10
                        Yaşında",En Üst Kat,antalya,alanya,konakli
