"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","eids-badge__description","he-lazy-image src","eids-badge__label","list-view-header","list-view-location","img-wrp href","he-lazy-image src 2","listing-card--owner-info__firm-name","he-lazy-image src 3"
"https://www.hepsiemlak.com/antalya-aksu-altintas-kiralik/daire/4781-1202","31","16.000","22-05-2025","Kiralık Daire","1 +
                          1","69 m²","1
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Deniz Manzaralı,Çift Klimalı,Havuzlu 1+1 Kiralık Ferah Daire","Antalya / Aksu / Altıntaş Mah.","","","",""
"https://www.hepsiemlak.com/antalya-alanya-tosmur-kiralik/daire/72340-101","12","19.000","22-05-2025","Kiralık Daire","2 +
                          1","120 m²","13
                        Yaşında","2. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Her Konuma Yakın Kiralık 2+1  Daire","Antalya / Alanya / Tosmur Mah.","https://www.hepsiemlak.com/emlak-ofisi/moonlight-homes-alanya-72340","https://hecdnnw.hemlak.com/mncropresize/77/67/logo/0/4/3/2/7/0/e229c20b-3e19-4456-bf5f-114925fa41fd.jpg","Moonlight Homes Alanya",""
"https://www.hepsiemlak.com/antalya-kepez-aktoprak-kiralik/daire/91299-1632","13","15.500","22-05-2025","Kiralık Daire","2 +
                          1","88 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Varsak'da Tranvaya Yakın 2+1 Amerikan Mutfaklı Asansörlü Kiralık Daire","Antalya / Kepez / Aktoprak Mah.","","","",""
"https://www.hepsiemlak.com/antalya-muratpasa-guvenlik-kiralik/daire/88469-1089","21","13.500","22-05-2025","Kiralık Daire","1 +
                          1","50 m²","15
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Soğksu'da Katta Kiralık 1+1 Boş Daire","Antalya / Muratpaşa / Güvenlik Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/0/7/4/8/3/6/4/4/088be65c-e965-4992-8618-1f529e26e084.jpg","",""
"https://www.hepsiemlak.com/antalya-muratpasa-fener-kiralik/daire/42264-839","8","2.500","22-05-2025","Kiralık Daire","3 +
                          1","140 m²","15
                        Yaşında","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Lara Fener Mah Tera Cty Yakını 2+1 Boyası Yapılı Masrafsız 25bintl","Antalya / Muratpaşa / Fener Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/1/7/8/9/9/3/4/1747817164687-43998713.jpg","",""
"https://www.hepsiemlak.com/antalya-finike-kum-kiralik/daire/140636-120","32","19.000","21-05-2025","Kiralık Daire","2 +
                          1","110 m²","Sıfır Bina","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Finike Kum Mah. Havuzlu Sitede Kiralık Lüks 2+1 Daire","Antalya / Finike / Kum Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/0/2/2/3/5/4/4/bcfea75c-2921-42da-a2ea-89c5137def86.jpg","",""
"https://www.hepsiemlak.com/antalya-finike-iskele-kiralik/daire/140636-114","16","10.500","21-05-2025","Kiralık Daire","1 +
                          1","54 m²","1
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Finike Kum Mahallesi Adliye Arkasında Kiralık Lüks 1+1 Daire","Antalya / Finike / İskele Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/7/4/5/5/4/4/4/406cb406-cc70-435e-b10e-b5f0978f66dc.jpg","",""
"https://www.hepsiemlak.com/antalya-elmali-karyagdi-kiralik/daire/691790-1626","18","11.000","21-05-2025","Kiralık Daire","3 +
                          1","115 m²","15
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Elmalı İlçesi Karyağdı Mahallesinde Tamamen Yenilenmiş 3+1 Sobalı Kiralık Daire","Antalya / Elmalı / Karyağdı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/1/5/8/0/6/6/4/4/99daf55a-6e43-4dcf-9e4e-dcb6e7d3a202.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-kultur-kiralik/daire/151812-88","12","19.000","21-05-2025","Kiralık Daire","2 +
                          1","85 m²","7
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Kiralik Daire 2+1 Kültür Full Esyali Asansörlü Tramvay Yakını","Antalya / Kepez / Kültür Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/5/5/6/7/5/4/4/1747070453902-44576555.jpg","",""
"https://www.hepsiemlak.com/antalya-elmali-karyagdi-kiralik/daire/691790-1468","18","15.000","21-05-2025","Kiralık Daire","3 +
                          1","140 m²","1
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Elmalı İlçesinde Perihan Akkaya Kuran Kursu Yanında 3+1 Kiralık Daire","Antalya / Elmalı / Karyağdı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/2/0/2/7/2/4/f0b224bd-9a18-4046-a310-7b4605181a72.jpg","",""
"https://www.hepsiemlak.com/antalya-finike-iskele-kiralik/daire/140636-115","14","10.500","21-05-2025","Kiralık Daire","1 +
                          1","54 m²","Sıfır Bina","1. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Finike İskele Mah. Merkeze Yakın Kiralık 1+1 Daire","Antalya / Finike / İskele Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/5/8/7/5/5/4/4/4/2e066d38-4b0c-4b0b-b353-8383397d1af3.jpg","",""
"https://www.hepsiemlak.com/antalya-alanya-demirtas-kiralik/daire/89471-1050","28","10.000","22-05-2025","Kiralık Daire","1 +
                          1","73 m²","3
                        Yaşında","5. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Alanya Kiralık Daire 1+1 Deniz Manzaralı Demirtaş","Antalya / Alanya / Demirtaş Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/6/5/6/0/5/4/4/4/cb063f06-34d1-4ab8-8176-4e72e812173f.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-fevzi-cakmak-kiralik/daire/150800-206","38","26.000","22-05-2025","Kiralık Daire","5 +
                          1","225 m²","2
                        Yaşında","Zemin","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Lüks Sitede Giriş Kat Kiralık 5+1 Ters Dubleks","Antalya / Kepez / Fevzi Çakmak Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/8/4/7/3/6/6/4/4/1747776839-3396878-44663748.jpeg","",""
"https://www.hepsiemlak.com/antalya-alanya-karakocali-kiralik/daire/0-44648167","16","20.000","17-05-2025","Kiralık Daire","2 +
                          1","80 m²","8
                        Yaşında","4. Kat","","","","Yabancıdan Kiralık 1+1 Daire","Antalya / Alanya / Karakocalı Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/6/1/8/4/6/4/4/1747496885-719904-44648167.jpeg","",""
"https://www.hepsiemlak.com/antalya-dosemealti-yenikoy-kiralik/daire/153750-38","24","12.000","17-05-2025","Kiralık Daire","2 +
                          1","110 m²","6
                        Yaşında","Bahçe Katı","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Döşemealtı Yeniköy'de Kiralık 2+1 Ayrı Mutfaklı Bahçe Katı","Antalya / Döşemealtı / Yeniköy Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/3/7/9/7/4/6/4/4/b88b7734-ff39-4d1b-b04a-144e1f27cca1.jpg","",""
"https://www.hepsiemlak.com/antalya-kepez-yesilyurt-kiralik/daire/34579-42316","35","18.000","21-05-2025","Kiralık Daire","3 +
                          1","160 m²","14
                        Yaşında","3. Kat","Elektronik İlan Doğrulama Sistemi yetki doğrulaması yapılmıştır.","https://hecdn01.hemlak.com/img/eids-logo-mini.png","EİDS onaylı","Antalya Kepez Yeşilyurtta Kiralık 3+1 Eşyalı Dubleks No.20457","Antalya / Kepez / Yeşilyurt Mah.","","https://hecdn01.hemlak.com/mncropresize/182/137/ds01/7/2/8/9/6/5/4/4/7767ae78-bde0-49bc-8e38-61ae032f28be.jpg","",""
